playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Hwang In-Beom,371030,1159,a,50.0,50.0,0,0.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,34.4,49.4,0,2.0,Pass,FirstHalf
Hwang In-Beom,371030,1159,a,48.0,52.1,0,2.0,Pass,FirstHalf
Lee Kang-In,367780,1159,a,49.7,43.1,0,4.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,29.0,30.0,0,5.0,Pass,FirstHalf
Roberto Alvarado,447636,972,h,38.3,22.4,0,6.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,48.1,70.4,0,9.0,Pass,FirstHalf
Seol Young-Woo,477549,1159,a,60.5,91.7,0,11.0,Pass,FirstHalf
Hwang In-Beom,371030,1159,a,58.1,78.8,0,12.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,57.8,76.5,0,16.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,35.6,55.1,0,18.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,42.8,22.3,0,21.0,Pass,FirstHalf
Kim Moon-Hwan,414214,1159,a,45.6,10.7,0,24.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,28.4,18.1,0,26.0,Pass,FirstHalf
Kim Seung-Gyu,71968,1159,a,14.2,34.4,0,32.0,Pass,FirstHalf
Seol Young-Woo,477549,1159,a,91.0,96.0,0,39.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,79.4,94.5,0,41.0,OffsidePass,FirstHalf
Edson Álvarez,322696,972,h,28.1,21.6,1,10.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,22.2,45.4,1,12.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,21.5,80.9,1,14.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,37.7,95.4,1,19.0,Dispossessed,FirstHalf
Kim Moon-Hwan,414214,1159,a,62.3,4.6,1,19.0,Tackle,FirstHalf
Jesús Gallardo,252248,972,h,44.8,100.0,1,30.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,24.7,80.6,1,36.0,Pass,FirstHalf
