id,minute,second,period,playerName,playerId,teamId,h_a,x,y,endX,endY,goalMouthY,goalMouthZ,blockedX,blockedY,outcomeType,isGoal,shotBodyType,situation,qualifiers
2944934563.0,6,17.0,FirstHalf,Roberto Alvarado,447636,972,h,74.7,39.5,,,40.8,6.9,98.5,39.9,Successful,False,LeftFoot,OpenPlay,"[{""type"": ""OutOfBoxCentre""}, {""type"": ""RegularPlay""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""LeftFoot""}, {""type"": ""GoalMouthY"", ""value"": ""40.8""}, {""type"": ""GoalMouthZ"", ""value"": ""6.9""}, {""type"": ""BlockedX"", ""value"": ""98.5""}, {""type"": ""BlockedY"", ""value"": ""39.9""}, {""type"": ""IndividualPlay""}]"
2944934605.0,6,59.0,FirstHalf,Brian Gutiérrez,396565,972,h,75.4,60.8,,,39.0,13.9,98.8,43.0,Successful,False,RightFoot,OpenPlay,"[{""type"": ""OutOfBoxCentre""}, {""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""74""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""MissRight""}, {""type"": ""GoalMouthY"", ""value"": ""39.0""}, {""type"": ""GoalMouthZ"", ""value"": ""13.9""}, {""type"": ""BlockedX"", ""value"": ""98.8""}, {""type"": ""BlockedY"", ""value"": ""43.0""}, {""type"": ""IndividualPlay""}]"
2944935875.0,19,16.0,FirstHalf,Julián Quiñones,509557,972,h,90.0,47.9,,,51.5,17.1,98.6,49.3,Successful,False,Head,OpenPlay,"[{""type"": ""Head""}, {""type"": ""BoxCentre""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""208""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""LowCentre""}, {""type"": ""GoalMouthY"", ""value"": ""51.5""}, {""type"": ""GoalMouthZ"", ""value"": ""17.1""}, {""type"": ""BlockedX"", ""value"": ""98.6""}, {""type"": ""BlockedY"", ""value"": ""49.3""}, {""type"": ""IntentionalAssist""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""177""}, {""type"": ""FirstTouch""}]"
2944937803.0,40,39.0,FirstHalf,Seol Young-Woo,477549,1159,a,95.0,67.4,,,69.4,54.2,,,Successful,False,LeftFoot,OpenPlay,"[{""type"": ""RegularPlay""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""DeepBoxLeft""}, {""type"": ""LeftFoot""}, {""type"": ""HighLeft""}, {""type"": ""GoalMouthY"", ""value"": ""69.4""}, {""type"": ""GoalMouthZ"", ""value"": ""54.2""}, {""type"": ""FirstTouch""}]"
2944938115.0,43,54.0,FirstHalf,Lee Kang-In,367780,1159,a,75.3,37.8,,,47.0,19.0,86.3,41.9,Successful,False,RightFoot,OpenPlay,"[{""type"": ""OutOfBoxCentre""}, {""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""413""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""LowRight""}, {""type"": ""Blocked""}, {""type"": ""GoalMouthY"", ""value"": ""47.0""}, {""type"": ""GoalMouthZ"", ""value"": ""19.0""}, {""type"": ""BlockedX"", ""value"": ""86.3""}, {""type"": ""BlockedY"", ""value"": ""41.9""}, {""type"": ""IndividualPlay""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""379""}]"
2944939371.0,48,10.0,SecondHalf,Jesús Gallardo,252248,972,h,93.3,68.3,,,57.3,6.9,,,Successful,False,LeftFoot,OpenPlay,"[{""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""463""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""BoxLeft""}, {""type"": ""LeftFoot""}, {""type"": ""GoalMouthY"", ""value"": ""57.3""}, {""type"": ""GoalMouthZ"", ""value"": ""6.9""}, {""type"": ""IntentionalAssist""}]"
2944939423.0,49,39.0,SecondHalf,Raúl Jiménez,108186,972,h,90.5,53.0,,,52.0,19.0,91.6,52.9,Successful,False,Head,OpenPlay,"[{""type"": ""Head""}, {""type"": ""BoxCentre""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""478""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""LowLeft""}, {""type"": ""Blocked""}, {""type"": ""GoalMouthY"", ""value"": ""52.0""}, {""type"": ""GoalMouthZ"", ""value"": ""19.0""}, {""type"": ""BlockedX"", ""value"": ""91.6""}, {""type"": ""BlockedY"", ""value"": ""52.9""}, {""type"": ""IntentionalAssist""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""521""}, {""type"": ""FirstTouch""}]"
2944939431.0,49,41.0,SecondHalf,Luis Romo,447635,972,h,86.8,51.7,,,51.0,9.5,,,Successful,True,RightFoot,OpenPlay,"[{""type"": ""BoxCentre""}, {""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""LowCentre""}, {""type"": ""GoalMouthY"", ""value"": ""51.0""}, {""type"": ""GoalMouthZ"", ""value"": ""9.5""}, {""type"": ""Volley""}, {""type"": ""BigChance""}, {""type"": ""FirstTouch""}]"
2944939669.0,57,28.0,SecondHalf,Hwang In-Beom,371030,1159,a,74.8,40.0,,,47.0,19.0,86.2,43.1,Successful,False,LeftFoot,OpenPlay,"[{""type"": ""OutOfBoxCentre""}, {""type"": ""RegularPlay""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""LeftFoot""}, {""type"": ""LowRight""}, {""type"": ""Blocked""}, {""type"": ""GoalMouthY"", ""value"": ""47.0""}, {""type"": ""GoalMouthZ"", ""value"": ""19.0""}, {""type"": ""BlockedX"", ""value"": ""86.2""}, {""type"": ""BlockedY"", ""value"": ""43.1""}, {""type"": ""IndividualPlay""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""529""}]"
2944940143.0,74,40.0,SecondHalf,Raúl Jiménez,108186,972,h,97.5,40.1,,,48.3,13.3,98.9,44.2,Successful,False,RightFoot,OpenPlay,"[{""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""628""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""SmallBoxRight""}, {""type"": ""LowCentre""}, {""type"": ""GoalMouthY"", ""value"": ""48.3""}, {""type"": ""GoalMouthZ"", ""value"": ""13.3""}, {""type"": ""BlockedX"", ""value"": ""98.9""}, {""type"": ""BlockedY"", ""value"": ""44.2""}, {""type"": ""IntentionalAssist""}, {""type"": ""BigChance""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""725""}]"
