id,minute,second,period,playerName,playerId,teamId,h_a,x,y,type,outcomeType,qualifiers
2944992503.0,0,5.0,FirstHalf,Nathan Patterson,396975,424,h,26.1,11.0,BallRecovery,Successful,[]
2944992561.0,2,27.0,FirstHalf,Issa Diop,300359,495,a,27.1,12.0,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""40.7""}, {""type"": ""PassEndY"", ""value"": ""7.2""}, {""type"": ""Length"", ""value"": ""14.6""}, {""type"": ""Angle"", ""value"": ""6.06""}]"
2944992565.0,2,31.0,FirstHalf,Brahim Díaz,317541,495,a,40.8,10.2,BallRecovery,Successful,[]
2944992569.0,2,35.0,FirstHalf,Lewis Ferguson,396971,424,h,59.2,87.3,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""28""}, {""type"": ""Defensive""}]"
2944992657.0,4,53.0,FirstHalf,Andy Robertson,115726,424,h,56.3,82.6,BallRecovery,Successful,[]
2944992663.0,4,57.0,FirstHalf,Noussair Mazraoui,349932,495,a,29.1,48.1,BlockedPass,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""20""}, {""type"": ""Defensive""}]"
2944992671.0,4,59.0,FirstHalf,Ismael Saibari,404776,495,a,28.8,54.0,BallRecovery,Successful,[]
2944992713.0,6,1.0,FirstHalf,Nathan Patterson,396975,424,h,32.3,6.0,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""93""}, {""type"": ""Defensive""}]"
2944992721.0,6,4.0,FirstHalf,John McGinn,318449,424,h,29.4,11.1,BallRecovery,Successful,[]
2944992727.0,6,14.0,FirstHalf,Chadi Riad,454342,495,a,16.7,55.4,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""28.3""}, {""type"": ""PassEndY"", ""value"": ""67.0""}, {""type"": ""Length"", ""value"": ""14.5""}, {""type"": ""Angle"", ""value"": ""0.57""}]"
