team,venue,formationIndex,formationName,playerId,playerName,slotIndex,vertical,horizontal,startMinuteExpanded,endMinuteExpanded
Scotland,home,0,4411,318896,Angus Gunn,0,0.0,5.0,0,65
Scotland,home,0,4411,396975,Nathan Patterson,1,2.5,1.0,0,65
Scotland,home,0,4411,115726,Andy Robertson,2,2.5,9.0,0,65
Scotland,home,0,4411,128882,Ryan Christie,3,5.0,3.5,0,65
Scotland,home,0,4411,86593,Grant Hanley,4,2.5,3.5,0,65
Scotland,home,0,4411,280210,Jack Hendry,5,2.5,6.5,0,65
Scotland,home,0,4411,318449,John McGinn,6,5.0,1.0,0,65
Scotland,home,0,4411,396971,Lewis Ferguson,7,5.0,6.5,0,65
Scotland,home,0,4411,256419,Ché Adams,8,9.0,5.0,0,65
Scotland,home,0,4411,336915,Scott McTominay,9,6.5,5.0,0,65
Scotland,home,0,4411,297403,Kieran Tierney,10,5.0,9.0,0,65
Scotland,home,1,4411,318896,Angus Gunn,0,0.0,5.0,65,76
Scotland,home,1,4411,396975,Nathan Patterson,1,2.5,1.0,65,76
Scotland,home,1,4411,115726,Andy Robertson,2,2.5,9.0,65,76
Scotland,home,1,4411,128882,Ryan Christie,3,5.0,3.5,65,76
Scotland,home,1,4411,86593,Grant Hanley,4,2.5,3.5,65,76
Scotland,home,1,4411,280210,Jack Hendry,5,2.5,6.5,65,76
Scotland,home,1,4411,430350,Ben Gannon-Doak,6,5.0,1.0,65,76
Scotland,home,1,4411,396971,Lewis Ferguson,7,5.0,6.5,65,76
Scotland,home,1,4411,256419,Ché Adams,8,9.0,5.0,65,76
Scotland,home,1,4411,336915,Scott McTominay,9,6.5,5.0,65,76
Scotland,home,1,4411,318449,John McGinn,10,5.0,9.0,65,76
Scotland,home,2,4411,318896,Angus Gunn,0,0.0,5.0,76,76
Scotland,home,2,4411,396975,Nathan Patterson,1,2.5,1.0,76,76
Scotland,home,2,4411,115726,Andy Robertson,2,2.5,9.0,76,76
Scotland,home,2,4411,128882,Ryan Christie,3,5.0,3.5,76,76
Scotland,home,2,4411,86593,Grant Hanley,4,2.5,3.5,76,76
Scotland,home,2,4411,280210,Jack Hendry,5,2.5,6.5,76,76
Scotland,home,2,4411,430350,Ben Gannon-Doak,6,5.0,1.0,76,76
Scotland,home,2,4411,396971,Lewis Ferguson,7,5.0,6.5,76,76
Scotland,home,2,4411,396795,Lyndon Dykes,8,9.0,5.0,76,76
Scotland,home,2,4411,336915,Scott McTominay,9,6.5,5.0,76,76
Scotland,home,2,4411,318449,John McGinn,10,5.0,9.0,76,76
Scotland,home,3,4411,318896,Angus Gunn,0,0.0,5.0,76,94
Scotland,home,3,4411,396975,Nathan Patterson,1,2.5,1.0,76,94
Scotland,home,3,4411,115726,Andy Robertson,2,2.5,9.0,76,94
Scotland,home,3,4411,82917,Kenny McLean,3,5.0,3.5,76,94
Scotland,home,3,4411,86593,Grant Hanley,4,2.5,3.5,76,94
Scotland,home,3,4411,280210,Jack Hendry,5,2.5,6.5,76,94
Scotland,home,3,4411,430350,Ben Gannon-Doak,6,5.0,1.0,76,94
Scotland,home,3,4411,396971,Lewis Ferguson,7,5.0,6.5,76,94
Scotland,home,3,4411,396795,Lyndon Dykes,8,9.0,5.0,76,94
Scotland,home,3,4411,336915,Scott McTominay,9,6.5,5.0,76,94
Scotland,home,3,4411,318449,John McGinn,10,5.0,9.0,76,94
Scotland,home,4,4411,318896,Angus Gunn,0,0.0,5.0,94,94
Scotland,home,4,4411,291944,Anthony Ralston,1,2.5,1.0,94,94
Scotland,home,4,4411,115726,Andy Robertson,2,2.5,9.0,94,94
Scotland,home,4,4411,82917,Kenny McLean,3,5.0,3.5,94,94
Scotland,home,4,4411,86593,Grant Hanley,4,2.5,3.5,94,94
Scotland,home,4,4411,280210,Jack Hendry,5,2.5,6.5,94,94
Scotland,home,4,4411,430350,Ben Gannon-Doak,6,5.0,1.0,94,94
Scotland,home,4,4411,396971,Lewis Ferguson,7,5.0,6.5,94,94
Scotland,home,4,4411,396795,Lyndon Dykes,8,9.0,5.0,94,94
Scotland,home,4,4411,336915,Scott McTominay,9,6.5,5.0,94,94
Scotland,home,4,4411,318449,John McGinn,10,5.0,9.0,94,94
Scotland,home,5,4411,318896,Angus Gunn,0,0.0,5.0,94,96
Scotland,home,5,4411,291944,Anthony Ralston,1,2.5,1.0,94,96
Scotland,home,5,4411,115726,Andy Robertson,2,2.5,9.0,94,96
Scotland,home,5,4411,82917,Kenny McLean,3,5.0,3.5,94,96
Scotland,home,5,4411,86593,Grant Hanley,4,2.5,3.5,94,96
Scotland,home,5,4411,280210,Jack Hendry,5,2.5,6.5,94,96
Scotland,home,5,4411,430350,Ben Gannon-Doak,6,5.0,1.0,94,96
Scotland,home,5,4411,396971,Lewis Ferguson,7,5.0,6.5,94,96
Scotland,home,5,4411,396795,Lyndon Dykes,8,9.0,5.0,94,96
Scotland,home,5,4411,336915,Scott McTominay,9,6.5,5.0,94,96
Scotland,home,5,4411,397143,Ross Stewart,10,5.0,9.0,94,96
Morocco,away,0,4231,136220,Yassine Bounou,0,0.0,5.0,0,89
Morocco,away,0,4231,320834,Achraf Hakimi,1,2.5,1.0,0,89
Morocco,away,0,4231,349932,Noussair Mazraoui,2,2.5,9.0,0,89
Morocco,away,0,4231,486734,Neil El Aynaoui,3,5.0,6.5,0,89
Morocco,away,0,4231,300359,Issa Diop,4,2.5,3.5,0,89
Morocco,away,0,4231,454342,Chadi Riad,5,2.5,6.5,0,89
Morocco,away,0,4231,317541,Brahim Díaz,6,7.0,2.0,0,89
Morocco,away,0,4231,504830,Ayyoub Bouaddi,7,5.0,3.5,0,89
Morocco,away,0,4231,404776,Ismael Saibari,8,9.0,5.0,0,89
Morocco,away,0,4231,392361,Azzedine Ounahi,9,7.0,5.0,0,89
Morocco,away,0,4231,433572,Bilal El Khannouss,10,7.0,8.0,0,89
Morocco,away,1,4231,136220,Yassine Bounou,0,0.0,5.0,89,89
Morocco,away,1,4231,320834,Achraf Hakimi,1,2.5,1.0,89,89
Morocco,away,1,4231,349932,Noussair Mazraoui,2,2.5,9.0,89,89
Morocco,away,1,4231,486734,Neil El Aynaoui,3,5.0,6.5,89,89
Morocco,away,1,4231,300359,Issa Diop,4,2.5,3.5,89,89
Morocco,away,1,4231,454342,Chadi Riad,5,2.5,6.5,89,89
Morocco,away,1,4231,317541,Brahim Díaz,6,7.0,2.0,89,89
Morocco,away,1,4231,504830,Ayyoub Bouaddi,7,5.0,3.5,89,89
Morocco,away,1,4231,430982,Soufiane Rahimi,8,9.0,5.0,89,89
Morocco,away,1,4231,392361,Azzedine Ounahi,9,7.0,5.0,89,89
Morocco,away,1,4231,433572,Bilal El Khannouss,10,7.0,8.0,89,89
Morocco,away,2,4231,136220,Yassine Bounou,0,0.0,5.0,89,89
Morocco,away,2,4231,320834,Achraf Hakimi,1,2.5,1.0,89,89
Morocco,away,2,4231,349932,Noussair Mazraoui,2,2.5,9.0,89,89
Morocco,away,2,4231,486734,Neil El Aynaoui,3,5.0,6.5,89,89
Morocco,away,2,4231,300359,Issa Diop,4,2.5,3.5,89,89
Morocco,away,2,4231,454342,Chadi Riad,5,2.5,6.5,89,89
Morocco,away,2,4231,317541,Brahim Díaz,6,7.0,2.0,89,89
Morocco,away,2,4231,504830,Ayyoub Bouaddi,7,5.0,3.5,89,89
Morocco,away,2,4231,430982,Soufiane Rahimi,8,9.0,5.0,89,89
Morocco,away,2,4231,392361,Azzedine Ounahi,9,7.0,5.0,89,89
Morocco,away,2,4231,476110,Chemsdine Talbi,10,7.0,8.0,89,89
Morocco,away,3,4231,136220,Yassine Bounou,0,0.0,5.0,89,95
Morocco,away,3,4231,320834,Achraf Hakimi,1,2.5,1.0,89,95
Morocco,away,3,4231,349932,Noussair Mazraoui,2,2.5,9.0,89,95
Morocco,away,3,4231,486734,Neil El Aynaoui,3,5.0,6.5,89,95
Morocco,away,3,4231,300359,Issa Diop,4,2.5,3.5,89,95
Morocco,away,3,4231,454342,Chadi Riad,5,2.5,6.5,89,95
Morocco,away,3,4231,605380,Ayoube Amaimouni-Echghouyab,6,7.0,2.0,89,95
Morocco,away,3,4231,504830,Ayyoub Bouaddi,7,5.0,3.5,89,95
Morocco,away,3,4231,430982,Soufiane Rahimi,8,9.0,5.0,89,95
Morocco,away,3,4231,392361,Azzedine Ounahi,9,7.0,5.0,89,95
Morocco,away,3,4231,476110,Chemsdine Talbi,10,7.0,8.0,89,95
Morocco,away,4,4231,136220,Yassine Bounou,0,0.0,5.0,95,96
Morocco,away,4,4231,320834,Achraf Hakimi,1,2.5,1.0,95,96
Morocco,away,4,4231,349932,Noussair Mazraoui,2,2.5,9.0,95,96
Morocco,away,4,4231,486734,Neil El Aynaoui,3,5.0,6.5,95,96
Morocco,away,4,4231,300359,Issa Diop,4,2.5,3.5,95,96
Morocco,away,4,4231,454342,Chadi Riad,5,2.5,6.5,95,96
Morocco,away,4,4231,605380,Ayoube Amaimouni-Echghouyab,6,7.0,2.0,95,96
Morocco,away,4,4231,504830,Ayyoub Bouaddi,7,5.0,3.5,95,96
Morocco,away,4,4231,430982,Soufiane Rahimi,8,9.0,5.0,95,96
Morocco,away,4,4231,512740,Samir El Mourabet,9,7.0,5.0,95,96
Morocco,away,4,4231,476110,Chemsdine Talbi,10,7.0,8.0,95,96
