playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Azzedine Ounahi,392361,495,a,50.0,50.0,0,0.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,45.9,50.2,0,2.0,Pass,FirstHalf
Nathan Patterson,396975,424,h,24.6,12.5,0,6.0,Pass,FirstHalf
Angus Gunn,318896,424,h,4.9,27.9,0,9.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,58.5,100.0,0,14.0,Pass,FirstHalf
Chadi Riad,454342,495,a,37.5,77.2,0,18.0,Pass,FirstHalf
Issa Diop,300359,495,a,35.1,36.6,0,22.0,Pass,FirstHalf
Chadi Riad,454342,495,a,34.2,67.5,0,25.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,38.7,79.1,0,26.0,Pass,FirstHalf
Chadi Riad,454342,495,a,34.6,63.9,0,32.0,Pass,FirstHalf
Issa Diop,300359,495,a,32.2,27.7,0,35.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,43.8,8.4,0,38.0,Pass,FirstHalf
Issa Diop,300359,495,a,36.4,24.4,0,40.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,40.8,6.4,0,42.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,38.7,31.8,0,44.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,31.7,36.3,0,47.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,34.4,76.9,0,48.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,41.8,65.7,0,50.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,40.3,71.5,0,54.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,57.5,75.8,1,0.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,54.0,44.6,1,3.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,61.5,5.1,1,7.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,92.4,30.8,1,10.0,Goal,FirstHalf
Ché Adams,256419,424,h,49.8,50.0,2,19.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,42.5,50.3,2,21.0,Pass,FirstHalf
Ryan Christie,128882,424,h,35.7,40.6,2,24.0,Pass,FirstHalf
Andy Robertson,115726,424,h,34.5,90.8,2,25.0,Pass,FirstHalf
Issa Diop,300359,495,a,27.1,12.0,2,27.0,Clearance,FirstHalf
Scott McTominay,336915,424,h,56.5,82.4,2,28.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,36.1,27.1,2,30.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,40.8,12.8,2,35.0,Dispossessed,FirstHalf
Lewis Ferguson,396971,424,h,59.2,87.3,2,35.0,Tackle,FirstHalf
Brahim Díaz,317541,495,a,37.2,9.2,2,38.0,Foul,FirstHalf
Achraf Hakimi,320834,495,a,34.9,5.8,2,45.0,Pass,FirstHalf
Issa Diop,300359,495,a,23.6,22.4,2,49.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,24.6,41.9,2,53.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,35.1,12.4,2,55.0,Pass,FirstHalf
