id,minute,second,period,playerName,playerId,teamId,h_a,x,y,endX,endY,goalMouthY,goalMouthZ,blockedX,blockedY,outcomeType,isGoal,shotBodyType,situation,qualifiers
2944992549.0,1,10.0,FirstHalf,Ismael Saibari,404776,495,a,92.4,30.8,,,51.6,28.5,,,Successful,True,RightFoot,OpenPlay,"[{""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""23""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""BoxRight""}, {""type"": ""HighCentre""}, {""type"": ""GoalMouthY"", ""value"": ""51.6""}, {""type"": ""GoalMouthZ"", ""value"": ""28.5""}, {""type"": ""IntentionalAssist""}, {""type"": ""BigChance""}]"
2944993285.0,20,0.0,FirstHalf,Ayyoub Bouaddi,504830,495,a,73.0,35.9,,,50.3,19.0,80.8,40.1,Successful,False,RightFoot,FromCorner,"[{""type"": ""OutOfBoxCentre""}, {""type"": ""RightFoot""}, {""type"": ""FromCorner""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""LowCentre""}, {""type"": ""Blocked""}, {""type"": ""GoalMouthY"", ""value"": ""50.3""}, {""type"": ""GoalMouthZ"", ""value"": ""19.0""}, {""type"": ""BlockedX"", ""value"": ""80.8""}, {""type"": ""BlockedY"", ""value"": ""40.1""}, {""type"": ""IndividualPlay""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""131""}, {""type"": ""FirstTouch""}]"
2944993489.0,29,19.0,FirstHalf,Neil El Aynaoui,486734,495,a,86.3,35.4,,,48.4,65.3,,,Successful,False,RightFoot,OpenPlay,"[{""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""307""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""BoxRight""}, {""type"": ""MissHigh""}, {""type"": ""GoalMouthY"", ""value"": ""48.4""}, {""type"": ""GoalMouthZ"", ""value"": ""65.3""}, {""type"": ""IntentionalAssist""}, {""type"": ""FirstTouch""}]"
2944993743.0,35,25.0,FirstHalf,Bilal El Khannouss,433572,495,a,89.2,64.0,,,45.4,81.9,,,Successful,False,RightFoot,OpenPlay,"[{""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""383""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""BoxLeft""}, {""type"": ""MissHigh""}, {""type"": ""GoalMouthY"", ""value"": ""45.4""}, {""type"": ""GoalMouthZ"", ""value"": ""81.9""}, {""type"": ""IntentionalAssist""}, {""type"": ""BigChance""}, {""type"": ""FirstTouch""}]"
2944993803.0,37,38.0,FirstHalf,Achraf Hakimi,320834,495,a,92.4,47.0,,,13.6,22.2,94.3,34.1,Successful,False,RightFoot,OpenPlay,"[{""type"": ""BoxCentre""}, {""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""397""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""MissRight""}, {""type"": ""GoalMouthY"", ""value"": ""13.6""}, {""type"": ""GoalMouthZ"", ""value"": ""22.2""}, {""type"": ""BlockedX"", ""value"": ""94.3""}, {""type"": ""BlockedY"", ""value"": ""34.1""}, {""type"": ""IntentionalAssist""}, {""type"": ""FirstTouch""}]"
2944994079.0,45,53.0,FirstHalf,John McGinn,318449,424,h,97.3,40.1,,,34.3,63.9,,,Successful,False,RightFoot,OpenPlay,"[{""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""313""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""SmallBoxRight""}, {""type"": ""HighRight""}, {""type"": ""GoalMouthY"", ""value"": ""34.3""}, {""type"": ""GoalMouthZ"", ""value"": ""63.9""}, {""type"": ""Volley""}, {""type"": ""IntentionalAssist""}, {""type"": ""BigChance""}, {""type"": ""FirstTouch""}]"
2944994111.0,46,56.0,FirstHalf,Kieran Tierney,297403,424,h,87.8,66.2,,,52.9,19.0,89.4,64.4,Successful,False,LeftFoot,OpenPlay,"[{""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""324""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""BoxLeft""}, {""type"": ""LeftFoot""}, {""type"": ""LowLeft""}, {""type"": ""Blocked""}, {""type"": ""GoalMouthY"", ""value"": ""52.9""}, {""type"": ""GoalMouthZ"", ""value"": ""19.0""}, {""type"": ""BlockedX"", ""value"": ""89.4""}, {""type"": ""BlockedY"", ""value"": ""64.4""}, {""type"": ""IntentionalAssist""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""466""}, {""type"": ""FirstTouch""}]"
2944994657.0,49,45.0,SecondHalf,Ismael Saibari,404776,495,a,88.6,56.2,,,51.0,19.0,90.3,55.4,Successful,False,LeftFoot,OpenPlay,"[{""type"": ""BoxCentre""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""527""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""LeftFoot""}, {""type"": ""LowCentre""}, {""type"": ""Blocked""}, {""type"": ""GoalMouthY"", ""value"": ""51.0""}, {""type"": ""GoalMouthZ"", ""value"": ""19.0""}, {""type"": ""BlockedX"", ""value"": ""90.3""}, {""type"": ""BlockedY"", ""value"": ""55.4""}, {""type"": ""IntentionalAssist""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""412""}, {""type"": ""FirstTouch""}]"
2944994735.0,51,14.0,SecondHalf,Bilal El Khannouss,433572,495,a,94.9,34.4,,,47.7,20.9,99.7,47.8,Successful,False,Head,FromCorner,"[{""type"": ""Head""}, {""type"": ""FromCorner""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""534""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""DeepBoxRight""}, {""type"": ""HighRight""}, {""type"": ""GoalMouthY"", ""value"": ""47.7""}, {""type"": ""GoalMouthZ"", ""value"": ""20.9""}, {""type"": ""BlockedX"", ""value"": ""99.7""}, {""type"": ""BlockedY"", ""value"": ""47.8""}, {""type"": ""IntentionalAssist""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""417""}, {""type"": ""FirstTouch""}]"
2944995173.0,57,4.0,SecondHalf,Brahim Díaz,317541,495,a,94.0,32.7,,,49.0,19.0,94.9,35.1,Successful,False,RightFoot,OpenPlay,"[{""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""600""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""BoxRight""}, {""type"": ""LowCentre""}, {""type"": ""Blocked""}, {""type"": ""GoalMouthY"", ""value"": ""49.0""}, {""type"": ""GoalMouthZ"", ""value"": ""19.0""}, {""type"": ""BlockedX"", ""value"": ""94.9""}, {""type"": ""BlockedY"", ""value"": ""35.1""}, {""type"": ""IntentionalAssist""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""460""}]"
2944995533.0,61,53.0,SecondHalf,Achraf Hakimi,320834,495,a,79.7,78.5,,,39.5,23.6,,,Successful,False,RightFoot,OpenPlay,"[{""type"": ""OutOfBoxCentre""}, {""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""647""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""MissRight""}, {""type"": ""GoalMouthY"", ""value"": ""39.5""}, {""type"": ""GoalMouthZ"", ""value"": ""23.6""}, {""type"": ""IndividualPlay""}]"
2944995665.0,63,17.0,SecondHalf,Ryan Christie,128882,424,h,81.6,50.5,,,56.3,68.1,,,Successful,False,RightFoot,OpenPlay,"[{""type"": ""OutOfBoxCentre""}, {""type"": ""RightFoot""}, {""type"": ""RegularPlay""}, {""type"": ""Assisted""}, {""type"": ""RelatedEventId"", ""value"": ""512""}, {""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""HighLeft""}, {""type"": ""GoalMouthY"", ""value"": ""56.3""}, {""type"": ""GoalMouthZ"", ""value"": ""68.1""}, {""type"": ""IndividualPlay""}]"
