id,minute,second,period,playerName,playerId,teamId,h_a,x,y,endX,endY,outcomeType,qualifiers
1993920001,1,1,FirstHalf,,,64,a,99.5,0.5,88.0,50.0,Successful,[]
1993920003,5,1,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920006,7,2,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920008,7,4,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920011,12,1,FirstHalf,Álvaro García.,,64,a,76.0,50.0,88.0,50.0,Successful,[]
1993920015,14,2,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920017,15,2,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920018,15,3,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920024,19,1,FirstHalf,Xavi Espart.,,65,h,76.0,50.0,88.0,50.0,Successful,[]
1993920026,21,1,FirstHalf,Marc Bernal.,,65,h,76.0,22.0,88.0,22.0,Successful,[]
1993920043,40,2,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920044,41,1,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920047,43,2,FirstHalf,,,65,h,99.5,0.5,88.0,50.0,Successful,[]
1993920062,58,1,SecondHalf,,,64,a,99.5,0.5,88.0,50.0,Successful,[]
1993920063,59,1,SecondHalf,Unai López,,64,a,76.0,50.0,88.0,50.0,Successful,[]
1993920075,67,1,SecondHalf,,,64,a,99.5,0.5,88.0,50.0,Successful,[]
1993920078,71,1,SecondHalf,Anthony Gordon,,65,h,76.0,78.0,88.0,78.0,Successful,[]
1993920100,89,1,SecondHalf,,,64,a,99.5,0.5,88.0,50.0,Successful,[]
1993920103,90,4,SecondHalf,Karim Adeyemi.,,65,h,60.0,50.0,72.0,50.0,Successful,[]
1993920107,90,7,SecondHalf,,,64,a,99.5,0.5,88.0,50.0,Successful,[]
