playerId,playerName,shirtNo,position,team,teamId,venue,isFirstEleven,subbedInExpandedMinute,subbedOutExpandedMinute,height,weight,age
1264150,Joan Garcia,1,GK,Barcelona,65,home,True,,,,,
1264151,Christensen,15,DR,Barcelona,65,home,True,,,,,
1264152,Kounde,23,DC,Barcelona,65,home,True,,,,,
1264153,Xavi Espart,12,DC,Barcelona,65,home,True,,,,,
1264154,Cubarsí,5,DL,Barcelona,65,home,True,,,,,
1264155,Olmo,20,DMC,Barcelona,65,home,True,,,,,
1264156,Anthony Gordon,17,MC,Barcelona,65,home,True,,,,,
1264157,Bernal,22,MC,Barcelona,65,home,True,,,,,
1264158,Pedri,8,AMR,Barcelona,65,home,True,,,,,
1264159,Lamine Yamal,10,AMC,Barcelona,65,home,True,,,,,
1264160,Raphinha,11,AML,Barcelona,65,home,True,,,,,
1264161,Hamza Abdelkarim,29,FW,Barcelona,65,home,False,,,,,
1264162,Szczesny,13,13,Barcelona,65,home,False,,,,,
1264163,Eder Aller,31,14,Barcelona,65,home,False,,,,,
1264164,Fermin,7,15,Barcelona,65,home,False,,,,,
1264165,Gerard Martín,18,16,Barcelona,65,home,False,,,,,
1264166,Brian,28,17,Barcelona,65,home,False,,,,,
1264167,Balde,3,18,Barcelona,65,home,False,,,,,
1264168,Adeyemi,14,19,Barcelona,65,home,False,,,,,
1264169,Eric,24,20,Barcelona,65,home,False,,,,,
1264170,Rodrigo,16,21,Barcelona,65,home,False,,,,,
1264171,Joao Cancelo,2,22,Barcelona,65,home,False,,,,,
1264173,Cárdenas,1,GK,Rayo Vallecano,64,away,True,,,,,
1264174,Balliu,20,DR,Rayo Vallecano,64,away,True,,,,,
1264175,Lejeune,24,DC,Rayo Vallecano,64,away,True,,,,,
1264176,Jozhua V.,33,DC,Rayo Vallecano,64,away,True,,,,,
1264177,Pathé I. Ciss,6,DL,Rayo Vallecano,64,away,True,,,,,
1264178,G. Bouaré,36,DMC,Rayo Vallecano,64,away,True,,,,,
1264179,Óscar V.,23,MC,Rayo Vallecano,64,away,True,,,,,
1264182,De Frutos,19,MC,Rayo Vallecano,64,away,True,,,,,
1264180,Unai Lopez,8,AMR,Rayo Vallecano,64,away,True,,,,,
1264183,Álvaro,18,AMC,Rayo Vallecano,64,away,True,,,,,
1264181,Camello,10,AML,Rayo Vallecano,64,away,True,,,,,
1264184,Pedro Díaz,4,FW,Rayo Vallecano,64,away,False,,,,,
1264185,Pedrosa,17,13,Rayo Vallecano,64,away,False,,,,,
1264186,Nteka,11,14,Rayo Vallecano,64,away,False,,,,,
1264187,G.tsitaishvili,14,15,Rayo Vallecano,64,away,False,,,,,
1264188,Fran Pérez,21,16,Rayo Vallecano,64,away,False,,,,,
1264189,Andrei,2,17,Rayo Vallecano,64,away,False,,,,,
1264190,Alemâo,9,18,Rayo Vallecano,64,away,False,,,,,
1264191,Pelayo,22,19,Rayo Vallecano,64,away,False,,,,,
1264192,De Las Sias,26,20,Rayo Vallecano,64,away,False,,,,,
1264193,Adrián Molina,30,21,Rayo Vallecano,64,away,False,,,,,
1264194,M. Román,31,22,Rayo Vallecano,64,away,False,,,,,
