id,minute,second,period,playerName,playerId,teamId,h_a,x,y,endX,endY,goalMouthY,goalMouthZ,blockedX,blockedY,outcomeType,isGoal,shotBodyType,situation,qualifiers
1993920002,4,1,FirstHalf,Pedri,,65,h,72.0,50.0,,,,,78.0,50.0,Successful,False,LeftFoot,OpenPlay,[]
1993920005,7,1,FirstHalf,Raphinha,,65,h,72.0,50.0,,,,,78.0,50.0,Successful,False,LeftFoot,OpenPlay,[]
1993920007,7,3,FirstHalf,Pau Cubarsí,,65,h,88.0,50.0,,,,,,,Successful,False,Head,FromCorner,[]
1993920010,10,1,FirstHalf,Lamine Yamal,,65,h,88.0,22.0,,,,,94.0,22.0,Successful,False,LeftFoot,OpenPlay,[]
1993920012,12,1,FirstHalf,Sergio Camello,,64,a,88.0,50.0,,,46.2,32.0,,,Successful,True,LeftFoot,FromCorner,[]
1993920013,14,1,FirstHalf,Raphinha,,65,h,88.0,50.0,,,50.0,18.0,,,Successful,False,LeftFoot,OpenPlay,[]
1993920016,15,1,FirstHalf,Andreas Christensen,,65,h,96.5,50.0,,,,,,,Successful,False,Head,FromCorner,[]
1993920019,15,4,FirstHalf,Dani Olmo,,65,h,72.0,50.0,,,,,,,Successful,False,RightFoot,OpenPlay,[]
1993920020,16,1,FirstHalf,Lamine Yamal,,65,h,94.0,38.0,,,,,,,Successful,False,LeftFoot,OpenPlay,[]
1993920021,16,2,FirstHalf,Dani Olmo,,65,h,90.0,88.0,,,,,96.0,88.0,Successful,False,RightFoot,OpenPlay,[]
1993920022,17,1,FirstHalf,Marc Bernal,,65,h,72.0,50.0,,,,,,,Successful,False,LeftFoot,OpenPlay,[]
1993920025,19,1,FirstHalf,Raphinha,,65,h,88.0,50.0,,,53.8,8.0,,,Successful,True,LeftFoot,FromCorner,[]
1993920027,21,1,FirstHalf,Lamine Yamal,,65,h,88.0,22.0,,,53.8,32.0,,,Successful,True,LeftFoot,FromCorner,[]
1993920029,28,1,FirstHalf,Pedri,,65,h,88.0,22.0,,,,,,,Successful,False,RightFoot,FromSetPiece,[]
1993920035,35,1,FirstHalf,Florian Lejeune,,64,a,72.0,50.0,,,,,,,Successful,False,RightFoot,OpenPlay,[]
1993920036,36,1,FirstHalf,Anthony Gordon,,65,h,88.0,78.0,,,50.0,18.0,,,Successful,False,RightFoot,OpenPlay,[]
1993920038,37,1,FirstHalf,Gnangoro,,64,a,72.0,50.0,,,46.2,8.0,,,Successful,False,LeftFoot,FromCorner,[]
1993920041,40,1,FirstHalf,Marc Bernal,,65,h,72.0,50.0,,,50.0,18.0,,,Successful,False,LeftFoot,OpenPlay,[]
1993920046,43,1,FirstHalf,Anthony Gordon,,65,h,72.0,50.0,,,,,78.0,50.0,Successful,False,RightFoot,OpenPlay,[]
1993920049,45,1,FirstHalf,Anthony Gordon,,65,h,88.0,50.0,,,50.0,18.0,,,Successful,False,RightFoot,OpenPlay,[]
1993920053,48,1,SecondHalf,Lamine Yamal,,65,h,72.0,50.0,,,,,,,Successful,False,LeftFoot,OpenPlay,[]
1993920064,59,1,SecondHalf,Sergio Camello,,64,a,88.0,50.0,,,46.2,8.0,,,Successful,True,Head,FromCorner,[]
1993920066,61,1,SecondHalf,Fran Pérez,,64,a,88.0,22.0,,,,,,,Successful,False,RightFoot,OpenPlay,[]
1993920067,61,2,SecondHalf,Sergio Camello,,64,a,88.0,50.0,,,,,94.0,50.0,Successful,False,RightFoot,OpenPlay,[]
1993920068,62,1,SecondHalf,Sergio Camello,,64,a,72.0,50.0,,,,,78.0,50.0,Successful,False,RightFoot,OpenPlay,[]
1993920073,65,1,SecondHalf,Lamine Yamal,,65,h,88.0,22.0,,,,,94.0,22.0,Successful,False,RightFoot,OpenPlay,[]
1993920074,65,2,SecondHalf,Xavi Espart,,65,h,88.0,50.0,,,,,,,Successful,False,Head,OpenPlay,[]
1993920076,69,1,SecondHalf,Fermín López,,65,h,88.0,50.0,,,,,94.0,50.0,Successful,False,RightFoot,OpenPlay,[]
1993920077,69,2,SecondHalf,Anthony Gordon,,65,h,88.0,50.0,,,,,,,Successful,False,LeftFoot,OpenPlay,[]
1993920079,71,1,SecondHalf,Raphinha,,65,h,88.0,78.0,,,53.8,8.0,,,Successful,True,LeftFoot,FromCounter,[]
1993920089,79,1,SecondHalf,Karim Adeyemi,,65,h,88.0,50.0,,,50.0,18.0,,,Successful,False,RightFoot,OpenPlay,[]
1993920091,81,1,SecondHalf,Florian Lejeune,,64,a,72.0,50.0,,,,,,,Successful,False,RightFoot,OpenPlay,[]
1993920092,82,1,SecondHalf,Randy Nteka,,64,a,88.0,50.0,,,50.0,18.0,,,Successful,False,LeftFoot,OpenPlay,[]
1993920096,85,1,SecondHalf,João Cancelo,,65,h,72.0,50.0,,,,,,,Successful,False,RightFoot,OpenPlay,[]
1993920104,90,4,SecondHalf,Lamine Yamal,,65,h,72.0,50.0,,,46.2,8.0,,,Successful,True,LeftFoot,FromCorner,[]
1993920105,90,6,SecondHalf,Alemão,,64,a,88.0,78.0,,,53.8,8.0,,,Successful,False,RightFoot,FromCorner,[]
1993920108,90,8,SecondHalf,Florian Lejeune,,64,a,88.0,50.0,,,,,,,Successful,False,Head,FromCorner,[]
